t,v_{x},v_{y},v
2.50E-01,-6.43E-02,-6.85E-02,9.40E-02
2.67E-01,2.44E-04,-6.24E-06,2.44E-04
2.84E-01,9.39E-04,-1.09E-04,9.45E-04
3.00E-01,3.90E-04,-1.75E-04,4.28E-04
3.17E-01,-2.09E-04,-2.21E-04,3.04E-04
3.34E-01,3.73E-03,-2.00E-04,3.73E-03
3.50E-01,2.06E-03,-5.15E-04,2.12E-03
3.67E-01,-2.51E-03,-2.74E-04,2.53E-03
3.84E-01,-5.40E-04,-1.18E-04,5.52E-04
4.00E-01,1.71E-04,-4.63E-05,1.77E-04
4.17E-01,1.59E-03,-7.71E-07,1.59E-03
4.34E-01,5.32E-04,6.05E-06,5.32E-04
4.50E-01,-1.40E-03,6.22E-05,1.40E-03
4.67E-01,1.67E-04,-3.83E-05,1.72E-04
4.84E-01,2.95E-03,-2.55E-03,3.90E-03
5.01E-01,6.48E-04,-1.41E-03,1.56E-03
5.17E-01,-3.25E-03,1.90E-03,3.76E-03
5.34E-01,-1.67E-03,9.65E-04,1.93E-03
5.51E-01,2.84E-04,1.97E-04,3.46E-04
5.67E-01,-4.98E-05,1.33E-04,1.42E-04
5.84E-01,-1.14E-03,7.00E-04,1.34E-03
6.01E-01,-2.43E-04,8.69E-04,9.03E-04
6.17E-01,-8.34E-05,4.68E-04,4.76E-04
6.34E-01,-6.63E-04,2.05E-04,6.94E-04
6.51E-01,-7.50E-05,3.98E-03,3.98E-03
6.67E-01,4.11E-03,1.32E-02,1.38E-02
6.84E-01,5.67E-04,2.95E-02,2.95E-02
7.01E-01,-1.41E-02,5.69E-02,5.87E-02
7.17E-01,-2.58E-02,2.06E-01,2.08E-01
7.34E-01,-4.33E-02,4.87E-01,4.89E-01
7.51E-01,-6.75E-02,6.74E-01,6.78E-01
7.67E-01,-7.71E-02,7.21E-01,7.25E-01
7.84E-01,-7.21E-02,7.34E-01,7.38E-01
8.01E-01,-6.47E-02,7.38E-01,7.41E-01
8.17E-01,-6.94E-02,7.35E-01,7.38E-01
8.34E-01,-7.39E-02,7.42E-01,7.46E-01
8.51E-01,-7.32E-02,7.45E-01,7.49E-01
8.68E-01,-7.25E-02,7.41E-01,7.45E-01
8.84E-01,-7.39E-02,7.39E-01,7.43E-01
9.01E-01,-8.20E-02,7.44E-01,7.48E-01
9.18E-01,-7.44E-02,7.49E-01,7.53E-01
9.34E-01,-7.21E-02,7.59E-01,7.63E-01
9.51E-01,-7.45E-02,7.57E-01,7.61E-01
9.68E-01,-7.93E-02,7.51E-01,7.55E-01
9.84E-01,-8.41E-02,7.52E-01,7.56E-01
1.00E+00,-7.25E-02,7.56E-01,7.59E-01
1.02E+00,-7.07E-02,7.64E-01,7.68E-01
1.03E+00,-8.29E-02,7.63E-01,7.67E-01
1.05E+00,-8.80E-02,7.58E-01,7.63E-01
1.07E+00,-8.30E-02,7.58E-01,7.62E-01
1.08E+00,-8.04E-02,7.52E-01,7.56E-01
1.10E+00,-8.77E-02,7.54E-01,7.60E-01
1.12E+00,-8.75E-02,7.73E-01,7.78E-01
1.13E+00,-7.73E-02,7.67E-01,7.71E-01
1.15E+00,-7.81E-02,7.55E-01,7.59E-01
1.17E+00,-8.84E-02,7.54E-01,7.59E-01
1.18E+00,-8.43E-02,7.69E-01,7.74E-01
1.20E+00,-7.15E-02,7.68E-01,7.72E-01
1.22E+00,-7.58E-02,7.55E-01,7.59E-01
1.23E+00,-8.24E-02,7.56E-01,7.61E-01
1.25E+00,-8.31E-02,7.59E-01,7.64E-01
1.27E+00,-6.97E-02,7.62E-01,7.65E-01
1.28E+00,-7.25E-02,7.60E-01,7.63E-01
1.30E+00,-8.48E-02,7.68E-01,7.73E-01
1.32E+00,-8.42E-02,7.70E-01,7.74E-01
1.33E+00,-7.35E-02,7.58E-01,7.62E-01
1.35E+00,-6.88E-02,7.57E-01,7.60E-01
1.37E+00,-8.13E-02,7.67E-01,7.71E-01
1.38E+00,-9.01E-02,7.70E-01,7.75E-01
1.40E+00,-8.17E-02,7.71E-01,7.75E-01
1.42E+00,-7.95E-02,7.66E-01,7.70E-01
1.43E+00,-9.17E-02,7.71E-01,7.76E-01
1.45E+00,-8.69E-02,7.79E-01,7.84E-01
1.47E+00,-7.26E-02,7.66E-01,7.70E-01
1.48E+00,-7.96E-02,7.64E-01,7.68E-01
1.50E+00,-9.72E-02,7.76E-01,7.82E-01
1.52E+00,-9.57E-02,7.81E-01,7.87E-01
1.53E+00,-8.55E-02,7.77E-01,7.81E-01
1.55E+00,-7.48E-02,7.64E-01,7.67E-01
1.57E+00,-8.83E-02,7.67E-01,7.72E-01
1.58E+00,-9.43E-02,7.79E-01,7.84E-01
1.60E+00,-7.48E-02,7.72E-01,7.76E-01
1.62E+00,2.79E-02,5.82E-01,5.83E-01
,,,
