t,v_{x},v_{y},v
2.17E-01,4.76E-02,6.40E-01,6.42E-01
2.34E-01,1.05E-03,6.18E-01,6.18E-01
2.50E-01,5.94E-03,6.19E-01,6.19E-01
2.67E-01,9.23E-03,6.26E-01,6.26E-01
2.84E-01,3.63E-04,6.23E-01,6.23E-01
3.00E-01,-2.51E-03,6.17E-01,6.17E-01
3.17E-01,5.17E-03,6.26E-01,6.26E-01
3.34E-01,3.46E-03,6.25E-01,6.25E-01
3.50E-01,3.13E-03,6.18E-01,6.18E-01
3.67E-01,5.69E-04,6.19E-01,6.19E-01
3.84E-01,2.27E-03,6.23E-01,6.23E-01
4.00E-01,1.06E-02,6.25E-01,6.25E-01
4.17E-01,1.69E-03,6.15E-01,6.15E-01
4.34E-01,-4.26E-05,5.97E-01,5.97E-01
4.50E-01,1.07E-02,6.14E-01,6.14E-01
4.67E-01,1.11E-02,6.28E-01,6.29E-01
4.84E-01,4.27E-03,6.17E-01,6.17E-01
5.01E-01,4.57E-03,6.10E-01,6.10E-01
5.17E-01,3.05E-03,6.21E-01,6.21E-01
5.34E-01,5.35E-03,6.12E-01,6.12E-01
5.51E-01,9.26E-03,6.09E-01,6.09E-01
5.67E-01,7.80E-03,6.10E-01,6.10E-01
5.84E-01,9.32E-03,6.18E-01,6.18E-01
6.01E-01,1.35E-02,6.26E-01,6.26E-01
6.17E-01,5.69E-03,6.16E-01,6.16E-01
6.34E-01,3.77E-04,6.16E-01,6.16E-01
6.51E-01,9.06E-03,6.21E-01,6.21E-01
6.67E-01,1.24E-02,6.08E-01,6.08E-01
6.84E-01,5.83E-03,5.94E-01,5.94E-01
7.01E-01,3.07E-03,5.81E-01,5.81E-01
7.17E-01,1.35E-02,4.81E-01,4.81E-01
7.34E-01,4.20E-02,3.13E-01,3.15E-01
7.51E-01,4.98E-02,2.06E-01,2.12E-01
7.67E-01,4.01E-02,1.90E-01,1.94E-01
7.84E-01,4.65E-02,1.90E-01,1.96E-01
8.01E-01,5.19E-02,1.73E-01,1.81E-01
8.17E-01,5.24E-02,1.72E-01,1.79E-01
8.34E-01,4.40E-02,1.70E-01,1.76E-01
8.51E-01,4.93E-02,1.62E-01,1.70E-01
8.68E-01,6.22E-02,1.76E-01,1.87E-01
8.84E-01,4.53E-02,1.71E-01,1.77E-01
9.01E-01,3.92E-02,1.66E-01,1.70E-01
9.18E-01,5.32E-02,1.77E-01,1.84E-01
9.34E-01,5.31E-02,1.72E-01,1.80E-01
9.51E-01,5.49E-02,1.66E-01,1.75E-01
9.68E-01,5.18E-02,1.61E-01,1.69E-01
9.84E-01,4.78E-02,1.68E-01,1.74E-01
1.00E+00,5.94E-02,1.81E-01,1.91E-01
1.02E+00,5.33E-02,1.61E-01,1.69E-01
1.03E+00,4.32E-02,1.66E-01,1.72E-01
1.05E+00,4.73E-02,1.75E-01,1.81E-01
1.07E+00,5.32E-02,1.64E-01,1.73E-01
1.08E+00,5.21E-02,1.61E-01,1.70E-01
1.10E+00,4.40E-02,1.64E-01,1.70E-01
1.12E+00,4.84E-02,1.71E-01,1.77E-01
1.13E+00,5.75E-02,1.65E-01,1.74E-01
1.15E+00,5.08E-02,1.56E-01,1.64E-01
1.17E+00,4.05E-02,1.63E-01,1.68E-01
1.18E+00,5.35E-02,1.77E-01,1.85E-01
1.20E+00,5.85E-02,1.62E-01,1.73E-01
1.22E+00,4.85E-02,1.59E-01,1.66E-01
1.23E+00,4.86E-02,1.68E-01,1.75E-01
1.25E+00,5.02E-02,1.66E-01,1.73E-01
1.27E+00,5.70E-02,1.67E-01,1.76E-01
1.28E+00,5.85E-02,1.62E-01,1.72E-01
1.30E+00,5.04E-02,1.56E-01,1.64E-01
1.32E+00,4.73E-02,1.67E-01,1.74E-01
1.33E+00,5.02E-02,1.68E-01,1.75E-01
1.35E+00,5.50E-02,1.58E-01,1.67E-01
1.37E+00,4.97E-02,1.52E-01,1.60E-01
1.38E+00,4.75E-02,1.65E-01,1.72E-01
1.40E+00,5.45E-02,1.79E-01,1.87E-01
1.42E+00,4.95E-02,1.59E-01,1.67E-01
1.43E+00,4.41E-02,1.47E-01,1.53E-01
1.45E+00,4.71E-02,1.64E-01,1.71E-01
1.47E+00,5.24E-02,1.74E-01,1.82E-01
1.48E+00,5.29E-02,1.61E-01,1.69E-01
1.50E+00,4.71E-02,1.54E-01,1.61E-01
1.52E+00,5.21E-02,1.63E-01,1.71E-01
1.53E+00,5.80E-02,1.72E-01,1.81E-01
1.55E+00,4.96E-02,1.64E-01,1.71E-01
,,,
